,Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
3756.87486,1,0,0,0,0,0,0,0
3754.94628,0,0,0,0,0,0,0,0
3753.0177,0,0,0,0,0,0,0,0
3751.08912,0,0,0,0,0,0,0,1
3749.16054,1,1,0,0,0,0,0,0
3747.23196,0,0,0,0,0,0,0,0
3745.30338,0,0,0,0,1,0,1,0
3743.3748,0,0,0,0,0,0,0,0
3741.44622,0,0,0,0,0,1,0,0
3739.51764,0,0,0,0,0,0,0,0
3737.58906,0,0,0,0,0,0,0,0
3735.66048,0,0,0,0,0,0,0,0
3733.7319,0,0,0,0,0,0,0,0
3731.80332,0,0,0,1,0,0,0,0
3729.87474,0,0,1,0,0,0,0,0
3727.94616,0,0,0,0,0,0,0,0
3726.01758,0,0,0,0,0,0,0,0
3724.089,0,0,0,0,0,0,0,0
3722.16041,0,0,0,0,0,0,0,0
3720.23183,0,0,0,0,0,0,0,0
3718.30325,0,0,0,0,0,0,0,0
3716.37467,0,1,0,1,0,0,0,1
3714.44609,0,0,0,0,0,1,0,0
3712.51751,0,0,0,0,0,0,0,1
3710.58893,0,0,0,0,0,0,0,0
3708.66035,1,1,0,0,1,0,1,0
3706.73177,0,0,1,0,0,1,0,0
3704.80319,0,0,0,0,1,0,1,0
3702.87461,0,0,0,0,0,0,0,0
3700.94603,1,0,0,0,0,0,0,1
3699.01745,0,0,0,0,0,0,0,0
3697.08887,0,0,0,0,0,0,0,0
3695.16029,0,0,1,0,0,1,0,0
3693.23171,0,1,0,1,1,0,1,0
3691.30313,0,0,1,0,0,0,0,1
3689.37455,1,1,0,0,1,1,0,0
3687.44597,0,0,0,1,0,0,1,0
3685.51738,1,0,0,0,1,1,0,1
3683.5888,0,1,0,1,0,0,0,0
3681.66022,0,0,1,0,0,0,1,0
3679.73164,0,0,0,0,0,0,0,0
3677.80306,0,0,0,0,1,0,0,1
3675.87448,1,0,1,0,0,0,0,0
3673.9459,0,1,0,0,0,0,0,0
3672.01732,0,0,0,0,0,1,0,0
3670.08874,0,0,0,1,0,0,1,0
3668.16016,1,0,0,0,1,0,0,1
3666.23158,0,1,0,1,0,0,0,0
3664.303,0,0,0,0,0,0,0,0
3662.37442,0,0,1,0,0,0,0,1
3660.44584,1,0,0,0,1,0,0,0
3658.51726,0,0,0,0,0,0,0,0
3656.58868,0,0,0,0,0,0,0,0
3654.6601,0,0,0,0,0,0,1,0
3652.73152,0,0,0,0,0,1,0,0
3650.80294,0,0,1,0,0,0,0,0
3648.87435,0,0,0,0,1,0,0,0
3646.94577,1,1,0,1,0,1,1,1
3645.01719,0,0,0,0,0,0,0,0
3643.08861,0,0,1,0,1,0,0,0
3641.16003,0,1,0,1,0,0,1,1
3639.23145,0,0,0,0,0,0,0,0
3637.30287,1,0,0,0,0,0,0,0
3635.37429,0,0,0,0,0,1,0,0
3633.44571,0,0,0,0,0,0,0,0
3631.51713,0,1,1,1,1,0,1,1
3629.58855,1,0,0,0,0,0,0,0
3627.65997,0,0,0,0,0,0,0,0
3625.73139,0,0,0,0,0,0,0,0
3623.80281,0,0,0,0,0,0,0,0
3621.87423,0,0,0,0,0,1,0,0
3619.94565,0,0,0,0,0,0,0,0
3618.01707,0,1,1,1,1,0,1,1
3616.08849,0,0,0,0,0,0,0,0
3614.15991,0,0,0,0,0,0,0,0
3612.23132,1,0,0,0,0,0,0,0
3610.30274,0,0,0,0,0,0,0,0
3608.37416,0,0,0,0,0,0,0,0
3606.44558,0,0,0,0,0,0,0,0
3604.517,0,0,0,0,0,0,0,0
3602.58842,0,0,0,0,0,0,0,0
3600.65984,0,0,0,0,0,0,0,0
3598.73126,0,0,0,0,0,0,0,0
3596.80268,0,0,0,0,0,1,0,0
3594.8741,0,0,0,0,0,0,0,0
3592.94552,0,0,0,0,0,0,0,0
3591.01694,0,0,0,0,0,0,0,0
3589.08836,0,0,0,0,0,0,0,0
3587.15978,0,0,0,0,0,0,0,0
3585.2312,0,0,0,0,0,0,0,0
3583.30262,0,0,0,0,0,0,0,0
3581.37404,0,0,0,0,1,0,1,0
3579.44546,0,1,0,1,0,0,0,1
3577.51688,0,0,0,0,0,0,0,0
3575.58829,0,0,0,0,0,0,0,0
3573.65971,0,0,0,0,0,0,0,0
3571.73113,0,0,0,0,0,0,0,0
3569.80255,0,0,0,0,0,0,0,0
3567.87397,0,0,0,0,0,0,0,0
3565.94539,0,0,1,0,0,0,0,0
3564.01681,0,0,0,0,0,0,0,0
3562.08823,0,0,0,0,0,0,0,0
3560.15965,0,0,0,0,0,0,0,0
3558.23107,0,0,0,0,0,0,0,0
3556.30249,0,0,0,0,0,0,0,0
3554.37391,0,0,0,0,0,0,0,0
3552.44533,0,0,0,0,0,0,0,0
3550.51675,0,0,0,0,0,0,0,0
3548.58817,0,0,0,0,0,0,0,0
3546.65959,0,0,0,0,0,0,0,0
3544.73101,0,0,0,0,0,0,0,0
3542.80243,0,0,0,0,0,0,0,0
3540.87385,0,0,0,0,0,0,0,0
3538.94526,0,0,0,0,0,0,0,0
3537.01668,0,0,0,0,0,0,0,0
3535.0881,0,0,0,0,0,0,0,0
3533.15952,0,0,0,0,0,0,0,0
3531.23094,0,0,0,0,0,0,0,0
3529.30236,0,0,0,0,0,0,0,0
3527.37378,0,0,0,0,0,0,0,0
3525.4452,0,0,0,0,0,0,0,0
3523.51662,1,0,0,0,0,0,0,0
3521.58804,0,0,0,0,0,0,0,0
3519.65946,0,1,0,0,1,0,1,1
3517.73088,0,0,0,0,0,1,0,0
3515.8023,0,0,0,0,0,0,0,0
3513.87372,0,0,1,0,0,0,0,0
3511.94514,0,0,0,0,0,0,0,0
3510.01656,0,0,0,0,0,0,0,0
3508.08798,0,0,0,0,0,0,0,0
3506.1594,0,0,0,0,0,0,0,0
3504.23082,0,0,0,0,0,0,0,0
3502.30223,0,0,0,1,0,0,0,0
3500.37365,0,0,0,0,0,0,0,0
