,Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
534.21681,0.17539,0.11296,0.22204,0.4284,0.77513,0.2163,0.84938,0.35544
532.28823,0.17836,0.11173,0.22092,0.42592,0.77516,0.21093,0.8471,0.35048
530.35964,0.18134,0.11038,0.21905,0.42195,0.77473,0.20602,0.84446,0.344
528.43106,0.18757,0.10727,0.21854,0.41674,0.77247,0.20108,0.83985,0.3335
526.50248,0.19652,0.10322,0.22042,0.41007,0.76923,0.19604,0.83417,0.31982
524.5739,0.20293,0.1006,0.22267,0.40144,0.76811,0.19008,0.83051,0.30715
522.64532,0.20521,0.0995,0.22448,0.39051,0.7692,0.18349,0.829,0.29605
520.71674,0.20983,0.09855,0.22678,0.37812,0.76891,0.17612,0.82555,0.28223
518.78816,0.21969,0.0967,0.22966,0.36584,0.76617,0.16849,0.81942,0.2647
516.85958,0.2296,0.09267,0.23154,0.35335,0.7633,0.16057,0.81296,0.24547
514.931,0.23379,0.09001,0.23146,0.33749,0.76199,0.15219,0.80769,0.22731
513.00242,0.23529,0.09257,0.23127,0.31667,0.76173,0.14297,0.80309,0.2096
511.07384,0.23796,0.09684,0.23412,0.29259,0.7609,0.13377,0.79816,0.19001
509.14526,0.2437,0.09818,0.23913,0.26928,0.75895,0.12556,0.79253,0.16777
507.21668,0.25181,0.09517,0.24427,0.24856,0.75594,0.1173,0.7858,0.1437
505.2881,0.25968,0.08803,0.24817,0.23062,0.75205,0.10805,0.7779,0.11963
503.35952,0.26851,0.08092,0.25025,0.21111,0.74476,0.09816,0.76633,0.0933
501.43094,0.27606,0.07756,0.2502,0.18536,0.73494,0.08747,0.75175,0.06418
499.50236,0.27636,0.07747,0.25088,0.1587,0.73078,0.07793,0.74345,0.04099
497.57378,0.27399,0.07754,0.25621,0.13405,0.73136,0.06933,0.74058,0.02221
495.6452,0.27546,0.0727,0.26386,0.11148,0.73053,0.05979,0.73585,0.00025
493.71661,0.27934,0.06397,0.26954,0.09076,0.72647,0.05083,0.72779,0.02447
491.78803,0.28215,0.05752,0.27121,0.0686,0.72039,0.04332,0.71831,0.04904
489.85945,0.28018,0.05542,0.27138,0.04505,0.7151,0.03834,0.71079,0.0694
487.93087,0.27781,0.05405,0.27188,0.02511,0.71136,0.03496,0.70544,0.08595
486.00229,0.28177,0.05253,0.27132,0.00757,0.70539,0.02903,0.6968,0.10465
484.07371,0.28794,0.04952,0.27075,0.01057,0.69859,0.02031,0.68591,0.12631
482.14513,0.28649,0.04261,0.27274,0.02804,0.69754,0.01179,0.68065,0.14466
480.21655,0.28006,0.03507,0.2749,0.04457,0.69883,0.00511,0.67868,0.15929
478.28797,0.27585,0.02972,0.27449,0.06161,0.69679,0.00187,0.67372,0.17457
476.35939,0.27337,0.02355,0.27423,0.07884,0.69079,0.00842,0.6653,0.19137
474.43081,0.27152,0.01439,0.27619,0.09384,0.6826,0.0134,0.65517,0.20818
472.50223,0.27196,0.00269,0.27784,0.10595,0.6738,0.01868,0.64385,0.22579
470.57365,0.27288,0.00857,0.27608,0.11506,0.66773,0.02277,0.63551,0.24153
468.64507,0.27122,0.01811,0.27428,0.12176,0.6658,0.02842,0.63096,0.25237
466.71649,0.26855,0.02898,0.27398,0.12794,0.66562,0.03599,0.62791,0.26233
464.78791,0.26559,0.04037,0.27384,0.13421,0.66366,0.04083,0.62418,0.27249
462.85933,0.2644,0.04974,0.27433,0.14121,0.65704,0.04165,0.61719,0.28327
460.93075,0.2637,0.05821,0.27271,0.14698,0.64765,0.0431,0.60723,0.29308
459.00217,0.26499,0.06814,0.26564,0.14647,0.63951,0.04932,0.597,0.30017
457.07358,0.27441,0.0823,0.2587,0.14265,0.63235,0.06072,0.58547,0.31205
455.145,0.28025,0.09697,0.25645,0.1438,0.62915,0.06998,0.57811,0.32595
453.21642,0.28025,0.10913,0.25468,0.1466,0.62627,0.07437,0.57318,0.336
451.28784,0.2806,0.11904,0.25332,0.14674,0.61997,0.077,0.56619,0.34219
449.35926,0.2818,0.13105,0.2531,0.14539,0.61104,0.07877,0.55708,0.34861
447.43068,0.28388,0.1503,0.2536,0.1418,0.60106,0.08215,0.54594,0.35803
445.5021,0.28477,0.16854,0.25425,0.1379,0.59279,0.08728,0.53549,0.366
443.57352,0.28611,0.1756,0.25185,0.13789,0.58858,0.09269,0.52928,0.37126
441.64494,0.29212,0.17812,0.24731,0.1429,0.58374,0.10017,0.5215,0.38146
439.71636,0.29787,0.18673,0.24747,0.15205,0.57498,0.10831,0.5089,0.39834
437.78778,0.30085,0.19979,0.25024,0.1599,0.56393,0.11518,0.49457,0.4146
435.8592,0.30448,0.21359,0.24673,0.16032,0.55297,0.12209,0.48081,0.42597
433.93062,0.30753,0.22591,0.23806,0.15682,0.54406,0.13233,0.46826,0.43319
432.00204,0.311,0.23848,0.2309,0.15657,0.53384,0.14546,0.45334,0.4433
430.07346,0.31359,0.24949,0.22482,0.16087,0.52148,0.15755,0.43639,0.4559
428.14488,0.31451,0.25537,0.21775,0.16455,0.50982,0.16649,0.42132,0.46412
426.2163,0.31817,0.25689,0.21363,0.16481,0.4989,0.17203,0.40802,0.46831
424.28772,0.3232,0.25613,0.21401,0.16084,0.48608,0.17384,0.39426,0.46774
422.35914,0.32542,0.25285,0.21674,0.15439,0.4696,0.17144,0.37884,0.46129
420.43055,0.3299,0.24122,0.20949,0.14488,0.44079,0.16876,0.35238,0.44956
418.50197,0.34293,0.22987,0.192,0.14616,0.41069,0.17209,0.32178,0.45442
416.57339,0.35159,0.23815,0.18665,0.17131,0.42005,0.18736,0.3241,0.48758
414.64481,0.35493,0.24323,0.18674,0.18803,0.43578,0.20187,0.33319,0.50737
412.71623,0.36294,0.23842,0.18541,0.18976,0.43686,0.20915,0.33072,0.51157
410.78765,0.3689,0.23582,0.18478,0.18299,0.43027,0.20915,0.32359,0.50843
408.85907,0.36488,0.24368,0.18963,0.17624,0.42461,0.20836,0.31798,0.50424
406.93049,0.35944,0.25589,0.1944,0.16933,0.41815,0.21098,0.3107,0.50126
405.00191,0.35793,0.26005,0.19126,0.16061,0.41132,0.21436,0.30272,0.49569
403.07333,0.35252,0.25455,0.18061,0.1484,0.39806,0.21303,0.29009,0.48027
401.14475,0.33254,0.23662,0.16694,0.13484,0.37069,0.20422,0.26697,0.44748
399.21617,0.2916,0.20334,0.14819,0.12408,0.32031,0.18403,0.22757,0.39456
